,Question,Answer
1411,What is multiple Okoa?,"
This is a feature within Okoa Jahazi that allows Multiple borrowing

"
1412,Does that mean I can borrow many times in a week?,"
YES. Customers can borrow as many times as their Previous week usage can allow every week.

"
1413,How does Okoa Jahazi work at the present moment?,"
Customers can only borrow after they have paid their existing loan

"
1414,What's the Okoa repayment period and does it change with the new feature?,"
Five (5 )days repayment period.

"
1415,Does each loan have its 5 day lifespan?,"
Each loan takes its own 5 day Service Legal Agreement(SLA).

"
1416,How does the customer get to know the limit per week?,"
By dialing *131# the customer will view a list of denominations they can access. The highest denomination denotes the highest amount the customer qualifies for within each week.

"
1417,Is there an opt in process for the service?,"
No. The capability will be available to all prepay customers allowing them to Okoa multiple times

"
1418,What happens when the first loan matures?,"
Each loan has a 5 day maturity period, if unpaid by day 6 then the customer will be blacklisted from Okoa Jahazi

"
1419,Does the customer get notified before maturity date?,"
Yes, by way of an SMS notification.

"
1420,How many okoa loans can a customer have?,"
A customer can borrow multiple times as long as their previous weeks usage allows for it.

"
1421,Will a lipa Mdogo Mdogo customer be eligible for multiple okoa?,"
Yes. All prepay customers will be eligible.

"
1422,Will new customers be allowed to access okoa & borrow multiple times,"
Age on Network will be capped at 14 days. On the 15th day the customers will be able to access okoa & enjoy multiple borrowing

"
1423,How will repayment be done?,"
Every top up via all channels ( MPESA, voucher, 3rd party, pin less) will go towards settling any outstanding okoa debts

"
1424,Has Okoa internet also been kitted with multiple borrowing capabilities?,"
YES. A customer can Okoa Internet many times based on their previous weeks usage.

"
1425,What is different with this Promotion?,"
Customers still have a target daily which they can check by dialing *460#. The difference is that the customers will now enjoy double the target amount, (200%).  No Expiry purchases for Calls & SMS via *544# will also accumulate towards daily achievement of target before awarding of 200% SI bonus.

"
1426,Who can participate in the promotion?,"
This Promotion is open to all Pre Paid customers.

"
1427,How long will the promotion run?,"
The promotion will run for 90 days starting 14th Feb 2020 to 13th May 2020

"
1428,What is the offer to the customer?,"



Customers will have a daily usage target that they can achieve by calling, texting, browsing out of bundle or purchasing a bundle, No expiry-Calls & SMS and Data purchases other VAS charges eg. Skiza, 411 etc ( NB: Tunukiwa purchases does not apply).
Customers will then receive 200% bonus airtime based on the amount they have used and target used.
"
1429,What is the order of priority for the usage once a bundle is purchased?,"
The 200% bonus airtime will have a midnight validity period.

"
1430,How will I be able to check the bonus airtime?,"
Balance enquiry will be available via *460#

"
1431,Will I earn bonga points from the bonus airtime?,"
Bonus airtime usage will not earn bonga points

"
1432,Can you sambaza the bonus airtime?,"
The resources will not be transferrable.

"
1433,Can the bonus airtime be used to pay for an Okoa loan?,"
Bonus airtime cannot be used to pay for an okoa loan.

"
1434,Can I make international calls or roam with the discounted minutes?,"
The bonus airtime can only be used on both on-net and off-net calls, SMS & out of bundle browsing.

"
1435,What are Shukrani Kocho Kocho Kenya Nzima?,"
This is a Safaricom promotion will run for (Ten) 10 weeks from 0000 hours 18th February 2019 to 2359 28th April 2019 (“Promotion Period”).

"
1436,Who is eligible?,"
This Promotion is open to all new and existing Safaricom subscribers. The Promotion will not be open to the following subscribers:
i. All corporate and SME subscribers
ii. Roaming subscribers
"
1437,How does a subscriber get an entry into the Promotion,"
All eligible subscribers will automatically be enrolled into the Promotion by making the first M-Pesa transaction or first airtime top up after the Launch date. Thereafter, For Every 20/- recharge (all recharges including Mpesa recharges), you will gain 10 entries to the draw and for every Ksh 20 transacted on Mpesa you will gain 1 entry to the draw.

"
1438,What MPESA Transactions are eligible for an entry?,"
The following transactions of above Ksh100 qualify: -Person to person “send money” -Pay Bill transactions on “Lipa na M-PESA” -Buy Goods transactions on “Lipa na M-PESA” -Business to customer transactions

"
1439,What are the prices to be won in the Shukrani Kocho Kocho Kenya Nzima Promotion?,"
Grand Prizes
Frequency
Winners
Cash 1M Per County
Once
1
Cash 1M Per Region
Weekly
1
Weekly
Cash 1K
Every Week
10
Cash 500
Every Week
100
Cash 250
Every Week
200
Daily Prizes
Airtime 100
Daily
200
Airtime 50
Daily
5100
Airtime 20
Daily
4200
"
1440,What are the regions and counties that are qualified for the promotion?,"
Regions

Counties:

Nairobi
Central
Nyanza
Western
Rift Valley
Coast
Eastern
North Eastern
"
1441,How will winners will be contacted?,"
Cash winners will receive a telephone call from Safaricom through the promotion number 0722 000 000.

"
1442,How do I check my total entries?,"
You check your total entries by dialing *456*0#.

"
1443,Is Sambaza qualified for entries?,"
No. Only Scratch card top ups, Mpesa airtime purchase that are qualified for recharge.

"
1444,How can I opt out of the promotion?,"
You may opt out of the Promotion by dialling *456# and following the prompts. If you wish to re-join the promotion, you can do so by dialling *456#.

"
1445,What is validity of the airtime awards and what can it be used for?,"
The airtime awards are valid for 7 days. This can be used to purchase data, SMS, make local and international call and across all networks

"
1446,What is Safaricom Jitambulishe service?,"
This is a service that allows Safaricom Prepaid, Individual Post-pay and Hybrid customers to enroll their voice and use it to access services such as get PUK, Unlock M-PESA account, Get M-PESA PIN/ start key and replace their line conveniently by calling 100/234/200.

"
1447,What do I need to enroll for Safaricom Jitambulishe service?,"
You need to be a registered Safaricom customer with an active Safaricom line.

"
1448,How do I enroll for Jitambulishe service?,"
To enrol your voice you need to dial 100/234/200
Select the Language of your choice [English |Kiswahili]
Select option to enrol your voice
Key in your National ID card number
Repeat the phrase “At Safaricom my Voice is my password” OR “Safaricom sauti yangu ndio kitambulisho changu” three times
"
1449,Can I enroll my voice in both English and Kiswahili?,"
No, you can only enroll your voice in either English or Kiswahili

"
1450,What benefits do i get if I enroll my voice as a customers,"
You enjoy security and the convenience of accessing Safaricom products and services by your self. You can access services such as PUK, M-PESA PIN, Sim Replacement, Unlock your M-PESA account, Bar/Unbar your line and much more using your voice as your password.

"
1451,What are the services I can access as self service once I enroll my voice for Jitambulishe service?,"
Once enrolled, you can access the following services when you call  100/234
Level 1
Customer enrolled by calling 100/234/200
Level 2
Enrolled as above and vetted further by Safaricom
Get PUK to unblock your line
Bar/ Unbar Line your line
Unlock your M-PESA account
Set/Reset/Change Bonga PIN
Check your M-PESA Balance
Transfer your Bonga points
"
1452,Am I charged to enrol and use Safaricom Jitambulishe service?,"
No, there are no charges, the service is free of charge and is open to Prepaid, Postpaid individual and hybrid customers.

"
1453,How can I stop using Jitambulishe service but still continue using my Safaricom line?,"
You can dial 100/234 and follow the prompts to delete your voice
1.Dial 100/234 and select “language”
2.Select the “Jitambulishe Service” option
3.Select the option to “delete your voice password”
4.Repeat your passphrase, ”At safaricom my voice is my password” or “Safaricom sauti yangu ndio kitambulisho changu” to delete your voice password.
"
1454,Can I re-enrol my voice again if I already enrolled my voice?,"
You can re-enrol your voice again by simply calling 100/234 and follow the prompts to update your voice
1.Dial 100/234 and select “language”
2.Select the “Jitambulishe Service” option
3.Select option to “update your voice password”
4.Repeat your passphrase, ”At safaricom my voice is my password” or “Safaricom sauti yangu ndio kitambulisho changu” to update your voice password.
"
1455,"What happens when I change the ownership of my line, will someone else use my voice?","
When you change the ownership of your line, the existing voice will be deleted and the new owner of the line will need to enrol their voice for Jitambulishe service.

"
1456,Unified USSD *456#,"
No need to worry about which short code you need to dial in order to access our different services. It is now as simple as 456…  In line with our customer first strategy, we have come up with a single short code that will help our customers access all the services with a single dial. The unified short code *456# is a service transformation aiming to give Safaricom customers a transformed and enhanced experience while accessing the different services via short codes.  As our products developed over the years, so has been the different ways to access these services. One of the platforms through which the customers access our products is via short codes (*100#, *200#,*544#, *444#, *188#, *811#, *234# among others). In order to simplify all these products, we are consolidating them to enable the customer access at once via *456#. This will provide convenience and simplicity to our customer.

"
1457,How do I access all the Safaricom services?,"
All you need to do is dial *456#Ok to access all Safaricom services under the consolidated single short code.  The service allows our customers to use one short code to access Safaricom services and products whether one is on Prepaid or Postpaid.  With the new short code, the customers will experience a whole new experience on Safaricom services

"
1458,Which services can I access under *456#?,"
• Get Deals – Access all Safaricom deals and promotions in a single view *456*0#
• BUY – Purchase different Safaricom services (Data, SMS, Minutes, Skiza among others) *456*1#
• Okoa/Sambaza – Request for Okoa Jahazi or Share/Sambaza your friends and family *456*2#
• Bonga –Get rewarded with fabulous offers for using your line, redeem and share. *456*3#
• Balances/Top Up – Access all your balances and carry out top up *456*4#
• M-PESA – Unlock your M-PESA, check tariff, search paybill numbers and more. *456*5#
• Safaricom Home- Sign up for Safaricom Home Fibre and manage your account here. *456*6#
• Activate –Activate Data manager, Blaze and other services. *456*7#
• Get PUK – PIN locked? No worry. Option 8 helps you get the PUK. Help a friend to get the PUK through your line. *456*8#
• Stop – Stop active subscriptions that keeps on renewing (Data, SMS, Games and more) *456*9#
• Find- Locate the nearest Safaricom shop or care desk, find other interesting services here. *456*10#
"
1459,What are the benefits of the unified short code?,"
•  The unified short code provides convenience and simplicity to the customer as they do not have to memorize the different short codes in the market, it is lean and provides shorter steps while accessing the services.
• Better self-service options as customers can now carry out a variety of Do It Yourself (DIY) options such as, Buying different Safaricom services from a single button, getting the PUK, Unlocking M-PESA, Stopping any charged services among others
• Improve on accessibility to service lines as more customers will now be able to use the short codes to resolve issues on their lines without having to call.
• High availability of a robust menu for the customer’s access anytime.
"
1460,What is Songa by Safaricom Music App?,"
Songa by Safaricom is a music App that will enable our subscribers to get their local and international songs in one place and keep them consistently entertained and updated.

"
1461,How can I download the Songa by Safaricom?,"
The App can be downloaded from Google Play store or by dialing*812#. The App is currently available to ONLY Android users.

"
1462,Who is eligible to use the App?,"
The App is available to all Prepay and Postpaid Safaricom subscribers.

"
1463,What categories of Music will I find in the Songa by Safaricom Music App?,"
The App has all genres of Music, both Local and international songs.

"
1464,What other benefits will I get when I download the Songa by Safaricom App?,"
a. You will get FREE 2 weeks to experience the app without paying any subscription plans.
b. You will have access to all the latest music tracks.
c. You will experience a great and uninterrupted experience when listening to the music you love.
d. You will be able to stream and download music at an affordable price.
"
1465,What is the cost of subscribing to the Songa by Safaricom music App?,"
• Daily @ Kshs 25
• Weekly @ kshs 150
• Monthly @kshs 499
"
1466,Will I use my data to stream and download music on the Songa music App?,"
YES. Once you subscribe to any of the daily, weekly or monthly plans, you will use your data to stream and download the songs in the app and normal data rates will apply while streaming the songs.

"
1467,"Will I be able to listen to the songs I have downloaded offline, without using my data bundles?","
YES. Once you download songs on the app, you will be able to listen to the songs using offline mode as long as you have an active subscription.

"
1468,"Will I be able to subscribe to a daily, weekly and monthly plan at the same time?","
No. You can only have one plan at a time. However you can upgrade your Plan by choosing the option of “Change your subscription”.

"
1469,How will I unsubscribe from my current subscription plans?,"
On the App, go to profile & subscriptions and select unsubscribe.  You can also dial *100# for prepaid customers or *200# for postpaid customers, select my subscriptions, then select premium services & games, select My active SMS services, select 22122 and unsubscribe.

"
1470,Can I access the App offline?,"
The App will require an internet connection to work. However you can be able to access the songs downloaded offline.

"
1471,Will I be able to share the songs I am listening to and invite my friends to download the App?,"
Yes, there will be an option to share the song through whatsapp, Facebook, Gmail etc ,your friends will receive the link, and then will be prompted to download the App then stream or download the songs.

"
1472,Will I get a notification when new tracks are released?,"
When new tracks are released, they will appear on the home page based on your selected favourite artists and tracks.

"
1473,Can I customize my app view?,"
Yes you can be able to customize your view to change your background themes.

"
1474,How will I send feedback/ recommendations for the app?,"
Select the send feedback link and share your comments. We will action any feedback received.

"
1475,How will artists get to put their music in the Songa music app?,"
We have partnered with Content providers who will sign up the artists allowing them to have the music in the App. These content providers include Ngomma Limited, Mtech Limited, Xpedia Limited & cellulant limited.

"
1476,For more information artists can reach us on this email address,"
SongaPoweredBySafaricom@Safaricom.co.ke
"
1477,What is Bulk Data?,"
This is a solution offered by Safaricom which allows Enterprise Customers to purchase data in bulk and distribute to their customers or employees.

"
1478,Who qualifies for bulk data?,"
Any business that has a contract with Safaricom for the purchase of Bulk Data.

"
1479,How do I apply for bulk data?,"
Through sharing your business details at https://dop.safaricom.co.ke/dopportal/ and a member our team will reach out for the onboarding process.

"
1480,What is the Data Operation Platform?,"
Data Operation Platform (DOP) is the platform that hosts the Bulk Data Service amongst other services for our Enterprise Customers.

"
1481,Where do I Sign Up for Bulk Data?,"
Customers can get the Bulk Data service through, providing details about their business at https://dop.safaricom.co.ke/dopportal/ and a member of the team will reach out within 24hrs with registration guidance.

"
1482,What documents do I require to get Bulk Data?,"
Customers are required to provide certified copy of Certificate of Incorporation, Certified copy of KRA PIN and Signed off contract with Safaricom.

"
1483,How do I get to know if my application is successful?,"
Bulk data customers will receive a notification upon successful completion of registration from dop@Safaricom.co.ke

"
1484,What is the payment method for Bulk Data?,"
Bulk data payments are accepted through M-PESA and Bank Payments.

"
1485,What Payment plans are available for Bulk Data?,"
Bulk data allows two payment plans.

Prepay - where customers are allowed to make payment before provision of Bulk Data service.
PostPay - This plan allows customers to make payment after use of the Bulk Data service.
"
1486,How can I view my billing and distribution data?,"
Customers can access billing and distribution report through the Data operations platform.

"
1487,How do I update / change payment method?,"
Customers can use any method of payment anytime without the need to change it.

"
1488,What do I if I have made payment but not received the Bulk Data?,"
Contact your Account Manager / Sales contact or DataPropositions-Business@Safaricom.co.ke

"
1489,How do I know that I have received the Bulk Data?,"
Customers will receive a notification on successful disbursement of Bulk Data to their account.

"
1490,What do I do if I cannot re-distribute the Bulk Data?,"
Customers can Contact their Account Manager/Sales contact or Safaricom Admin through DataPropositions-Business@Safaricom.co.ke

"
1491,Does the Bulk Data expire?,"

Yes, after 90 days for the enterprise customer.
30 days for the end-user from the time the bundle is activated in their respective accounts.
"
1492,Does the unused Bulk Data Roll Over after the next payment?,"
No, Bulk Data resources do not roll over.

"
1493,How can I check my Bulk Data balance?,"
Balances are available on Data operation platform (DOP) under Reports.

"
1494,Who can I contact if the portal is not working?,"
The Enterprise partner will Contact their Account Manager / Sales contact, Safaricom Admin, OR DataPropositions-Business@Safaricom.co.ke

"
1495,What is 5G for Business?,"
5G for Business is the next evolution for fixed wireless internet (Wi-Fi) services that will offer businesses high-speed and reliable internet connectivity on our fast 5G network in Kenya.

"
1496,Where can I get 5G connection?,"
5G for Business will initially be offered in areas where we have rolled out 5G network. We will gradually expand on our covered areas and keep you posted on our rollout when we arrive in your area.

"
1497,How do I get enrolled?,"
Our sales teams will reach to customers within 5G coverage and engage them for onboarding. You can also express your interest through business.safaricom.co.ke or by dialling *485# and select “Get Connected” for our teams to get back to you.

"
1498,What packages can I subscribe to if within an area with coverage,"
5G for Business will be available on below packages. Speeds and data bundle allocation for the packages will vary as indicated. There will also be a one-off cost of Ksh 5,000 to cover delivery and setup of the service.
Package
Price (Kes)
Speed (Mbps) Up-to
Data Cap (GB)
Extra Allocation on Depletion
Delivery and Set-up fee
Basic
4,500
20
300
+5 GB Daily
5,000
Standard
7,000
50
500
+10 GB Daily
5,000
Premium
14,999
100
1000
+15 GB Daily
5,000

"
1499,What are the costs and payment options for the router?,"
5G for Business Wi-Fi router will be offered by Safaricom. Entry level routers will be sold at:
Note: Outdoor routers will retail at a higher price

One off cost of Ksh 25,000 or any other prevailing retail price for indoor routers.
Amortization over 12 months, 24 months and 36 months. Amortization will require credit vetting and customer to sign a contract for the period.
"
1500,What are the available bill payment modes and when is my bill due?,"
5G for Business will be offered as postpaid subscription. Postpaid monthly bill will be run at the end of every month (on the 1st of the succeeding month) and the bill will be due on the 16th of the bill run month. Your account will be due for disconnection if bill is not settled on time. You can pay via:

Paybill 200200 with the CI as the Account Number
From our shops in cash or cheque. Cheque payment will need to clear before they are posted.
"
1501,Can my data resources roll over?,"
Allocated data bundles for 5G for Business package will not rollover. This is a fixed connectivity subscription that will renew at the end of every month.

"
1502,Can my data resources be depleted?,"
Yes. In cases where you deplete your resources within the course of the month, a daily bundle will be allocated per package to keep you connected as per schedule above.

"
1503,How to I manage my active connection?,"
You can manage your 5G for Business link via *485#. This will allow you to check link balance, connection status and update link details.

"
1504,Does the service require a deposit?,"
Yes, postpaid service will require a deposit equivalent to one month charge for the service. This is refundable upon service termination and settlement of all due bills.

"
1505,How do I change my package?,"
You can upgrade or downgrade your package by requesting for service change either in writing or through our sales teams. This will then be actioned, and you will be advised once order for service change is completed. We will keep improving on available channels to introduce a capability for self-service for service change. Service upgrade will require you to top up your deposit to be equivalent to the new monthly charge while downgrades retain the same deposit we have for the existing account.

"
1506,What are the available support channels for my 5G service?,"
Reach us via 0722002222 for any queries on your business link. You can also raise any queries via our social media channels on Twitter and Facebook as well as form https://www.business.safaricom.co.ke/

"
1507,Does the solution work with both apps and websites?,"
Yes, the solution works for both apps and websites. However, for the solution to work as intended, both apps and websites should not have embedded links.

"
1508,What are embedded links?,"
These are links to content that is not hosted on the Businessʼ actual online resource – Website, App or IP address.

"
1509,"What happens if the Business has embedded Links e.g., 3rd party advertisements / banners that redirect traffic to other websites?","
The business would have to undertake notification to its end user customers upon clicking on such a link, that they are navigating off the free sponsored online resource.

"
1510,Can the service work with only an URL as opposed to an IP address?,"
To ensure minimal exposure to risk, we require both the online resource IP address and the URL for the service to be provisioned.

"
1511,Can the service work with an IP address that is not static?,"
No. The business's IP address must be static to ensure that the end user customers are not charged for dynamic content while on the sponsored website /app.

"
1512,Are there set up/ maintenance costs?,"
No. However, a conditional monthly access fee (or minimum spend amount) of KES 50,000 (including VAT and Excise duty) shall be applied for the service.

"
1513,What are the SLA’s for solution deployment.,"
Upon receipt of all relevant documentation, technical configurations take 10 working days.

"
1514,What information is contained in the daily email notifications?,"
Dear Customer,  Your data usage on the sponsored data plan as at 30/08/ at 11:59PM is as follows; Yesterdayʼs usage – 0MB This monthʼs cumulative usage -24302182.49MB Thank you for choosing Safaricom business. Yours sincerely Safaricom PLC. NOTE: Please don't reply to this email, as we are unable to respond from this email address. If you need support, visit www.business.safaricom.co.ke.

"
1515,Are we able to cap usage/spend?,"
Yes. This is achievable via a Daily Usage Limit per End User customer in MBs (FUP).

"
1516,Is deposit required for this service?,"
For new customers, deposit will be required as advised by our Credit Control team on a case-by-case basis. Customers that are currently deposit exempt will not be required to pay deposit.

"
1517,How can the customer terminate the service?,"
Service may be discontinued upon a written request from the business. The SLA for this requests is 5 days.

"
1518,How can the customer terminate the service?,"
Service may be discontinued upon a written request from the customer. The SLA for this is 5 days.

"
1519,Can a customer change or add a new IP address to the service?,"
Yes. To change or add a new IP address, the business should fill in a new form with details of the new IP addresses they wish included. Change SLA is 4 days.

"
1520,Are we able to share mobile numbers of the end user customers who access the business’s online resource with the business owner?,"
As guided by CA regulations, we are not able to share customer mobile numbers with the business customer.

"
1521,What type of reports are available to the business owner?,"
Reports will include:

Date of access,
Data usage and
Rate applied
"
1522,What is Shiriki Prepay Airtime?,"
It is a prepay plan that Business Owners and or Customers (referred to as Sponsors) can share communication resources depending on their changing requirements for calling, browsing and SMS.
"
1523,How does the customer buy?,"
By Dialing *234*11# and Select the plan as per their needs.
"
1524,Who do we refer to as a Sponsor and Beneficiary?,"

A sponsor is the customer that buys the plans.
A sponsor can share the airtime with others-Referred to as Beneficiaries.
Sponsors can share up to 14 beneficiaries.
Sponsors can also choose to use the Airtime alone without sharing.
All resources shall sit on the sponsor wallet. A beneficiary shall only use their allocation from the sponsor’s line. If they (beneficiary) exhaust the allocation, then priority of usage shifts to any other resources they may have.
Should the Sponsor deplete their resources, they will utilize the resources of the beneficiary since all resources sit with the Sponsor.
The Sponsor will also be able to remove beneficiaries and check their balance and that of the beneficiaries.
The Sponsor will receive usage threshold notifications for their Shiriki Prepay Airtime.
"
1525,What are the rate/Charges and how many plan are there?,"
There are 6 plans as below.
Access to highly subsidized as below.
"
1526,What is the Validity of the plans?,"
The plans are valid for 30days.

"
1527,Do the Shiriki Airtime Resources Expire?,"
All the unused resources expire at the end of the month, no rollover
Package Name
No.           of Users (Including
sponsor)

Voice        per        Min (KES)
International Calling               Zone A**
(KES)

Data        per MB (KES)

SMS (KES)
Shiriki Ksh 1,500



15
2
3
0.12
0.03
Shiriki Ksh 3,000
1.25
3
0.11
0.03
Shiriki Ksh 4,500
1.25
3
0.09
0.02
Shiriki Ksh 6,300
1.25
3
0.09
0.02
Shiriki Ksh 9,000
1.25
3
0.09
0.02
Shiriki Ksh 13,500
1.25
3
0.09
0.02

"
1528,What are the Purchase modes?.,"
M-PESA, Airtime and Fuliza.

"
1529,What are the mode of Payments?,"
Buy Once or Auto-Renew (Applicable only for Airtime)

"
1530,Which tariffs qualify to buy the Shiriki Prepay Airtime?,"
All-Apart from PostPay.

"
1531,Can I buy Shiriki Prepay Airtime If I have an Okoa Jahazi outstanding Debt?,"
As the sponsor buys the plans, they will get a prompt to pay the outstanding Okoa on the same purchase journey.

"
1532,How does a Shiriki Sponsor/Beneficiary get help/Support for any queries or clarifications they may have?,"
Sponsors can call business support by calling 2222 or 200 or email to businesssupport@safaricom.co.ke and most importantly, their Sales Manager in EBU. Beneficiaries retain their respective support line as 100.

"
1533,"Service Change (termination, upgrade, or downgrade)","
This is a prepay plan. Should a sponsor require a different plan, all they need to do is purchase it by dialing *234*11#.

"
1534,How will a Sponsor add beneficiaries?,"
Dial *234#, select ‘’Shiriki Plans for Business’’, then select “Add Beneficiary” option. Follow the prompts.

"
1535,What are the notification messages to the Shiriki Sponsor when adding a beneficiary?,"
SCENARIO
NOTIFICATION TO SHIRIKI SPONSOR
Beneficiary MSISDN entered is not of the correct length
Dear Customer, You have entered an Invalid Number. Please ensure that the number starts with a zero(0) and the length of the number is 10. Thank you
Beneficiary MSISDN entered does not exist (Example an Competitor MSISDN)
Dear Customer, the number you have entered does not exist. Please ensure that you enter a Safaricom number. Thank you
Beneficiary MSISDN entered is not active (Example the MSISDN is not active on our systems)
Dear Customer, the number could not be added as a beneficiary at the moment. Please reconfirm the number with the beneficiary. Thank you.
Beneficiary MSISDN entered is already on Shiriki
Dear Customer, the number is already on Shiriki. Please try another number. Thank you
Internal   Technical   Error        (In cases of a system outage)
Dear Customer, we are currently unable to add the beneficiary. Please try again later. Thank you.

"
1536,How will I allocate beneficiaries a limit?,"
Dial *234*11#, select ‘Add Beneficiary, Enter the Beneficiary Number, Nick Name and Limit. A beneficiary can only enjoy Shiriki rates up to the allocated amounts. After exhausting the assigned limit they shall need to top up and be charged prevailing rates on Uwezo.

"
1537,How to remove beneficiaries?,"
Dial *234*11#, then select “Remove Beneficiary” option. Follow the prompts.

"
1538,"If am on Auto-Renew, Can I purchase a plan before 30days validity are over?","
Yes, and the anniversary date will be adjusted to 30days from the date of the new purchase.

"
1539,Can I Sambaza / share my Shiriki airtime?,"
No. The plan does not allow Sambaza airtime. The plan only allows sharing resources with selected beneficiaries by allocating them a limit.

"
1540,How do I check my balance as a Shiriki sponsor?,"
By dialing USSD code *234# and selecting the “Check Balance” option and select sponsor number.

"
1541,How do I check the balance as a Shiriki beneficiary?,"
No. Beneficiary balance check is not available currently. The Sponsor can however check balance for beneficiaries under their Shiriki Plan.

"
1542,Will I earn bonga points once I enroll to the service?,"
Yes. The Sponsor will be awarded Bonga Points equivalent to the value of your Shiriki subscription as per prevailing Bonga conversion rates.

"
1543,Will I be able to browse if I have My Data Manager?,"
No/Yes?

"
1544,What is the Usage Prioritization for Shiriki PrePay plans?,"
Shorter validity bundles are used first. Example, if a sponsor has a 24hour validity, that will be used before the 30day Shiriki Prepay Airtime.

"
1545,Can I roam on Shiriki Plan for Business resources?,"
No. You will need to top up your line with normal airtime to be able to roam. The International Calling is supported for only Zone A (India, China, Canada and USA). Normal international calling rates apply for all other countries. Prevailing roaming charges for calling and browsing will apply and will be deducted from the airtime value.

"
1546,Do Shiriki Prepay Airtime get exhausted?,"
Yes. This is dependent use patterns of the sponsor, and beneficiaries if any.

"
1547,Can I buy data bundles via *544# if I am on the Shiriki Plan?,"
Yes. Customers can top-up their line with normal airtime and buy data bundles via *544#.

"
1548,What is the Biashara Smart mobile Service?,"
The Biashara Smart offer is a prepay solution enabling Micro businesses to grow through bundling value-added services that address the needs of a growing business. The offer is for Micro and SME businesses as well as existing Pochi la Biashara and Lipa Na M-Pesa customers. The basic offer contains voice minutes, data and SMS. The advanced options may include closed user group, internet domain service or discounted smart phones, depending on the option you select.

"
1549,Which Biashara Smart Bundle is suitable for my business?,"
The bundle that you select depends on your payment preference. If your business runs on a monthly budget and you prefer to be billed monthly, then you should select the monthly version that suits you. Otherwise, you can select the daily option if it is more convenient to purchase as needed. However, it is important to note that selecting the monthly option will be more economical in the long run.

"
1550,How can I get Biashara Smart mobile Service?,"
You can get the Biashare Smart bundle by dialing *485# on your line. You can also get the bundle by dialling the pochi la biashara USSD *334# and selecting option “Pochi la Biashara” then selecting “Biashara Smart”.

"
1551,How do I pay for my Biashara smart product?,"
The product is on a prepaid model hence you pre-purchase before use. The payment is made either via Airtime or M-PESA.

"
1552,How do I check my balance for Biashara Smart?,"
You can check your balance by dialing *544# on your line and selecting “balance & Tips”. If you do not see it on the first menu, select “more” which is option “98”.

"
1553,"If my bundle runs out, can I buy a new biashara smart bundle?","
You can buy another bundle by dialing *485# and selecting the biashara smart option you require.

"
1554,How can I renew Biashara Smart mobile product when it expires?,"
You can renew your product by dialing *485# and selecting the biashara smart option you require.

"
1555,How do I change my Biashara Smart product if I need a different one?,"
You can change your product by dialing *485#.

"
1556,Will my Biashara Smart Bundle expire?,"
Yes. The daily bundle expires after 24hrs and the monthly bundle expires after 30 days.

"
1557,What happens to my existing airtime or bundles when I move to Biashara Smart bundles?,"
Priority in consumption will be given to the Biashara Smart resources, after which the prevailing prioritization in consumption attributed to your existing Tariff will prevail.

"
1558,Will I need to deactivate “Data Manager” to browse the internet using Biashara Smart Data?,"
Yes. The sponsor line will need to deactivate ʻData Managerʼ on *544# to browse at Biashara Smart preferential rates. However, your beneficiaries can browse with their ʻData Managerʼ on.

"
1559,Will I be able to browse or call when the Biashara Smart Bundle Expires?,"
Yes. When your Biashara Smart resource runs out, you can top up your line with airtime and continue to enjoy preferential rates.

"
1560,Will I earn Bonga Points while using Biashara Smart bundles?,"
Yes. You will be awarded Bonga Points equivalent to the value of your Biashara Smart Bundle subscription as per prevailing Bonga conversion rates. However, you need to have joined bonga points by dialing *126#.

"
1561,Who is eligible for Biashara Smart Bundles?,"
The offer is open to business owners of small office / home office, micro and small businesses who can provide the below KYC documentation;

For company registered lines; Contact Person Identification, National ID or Valid Passport and Pin/VAT Registration Certificate.
For individual registered lines; Contact Person Identification, National ID or Valid Passport.
"
1562,How do I opt out from my Biashara Smart mobile service?,"
The bundle is set as a one off. Hence you do not need to opt out. The daily bundle expires after 24 hrs and the monthly bundle expires after one month. Moreover, if the resources of the bundle get depleted then you line will continue using your regular tariff.

"
1563,What is M-PESA Business Till?,"The M-PESA Business till is an enhancement of the existing Buy Goods Till that enables business owners to collect payments on the till and use the money collected to make other transactions directly from their till such as:

Pay to a mobile number.
Pay to another Buy Goods Till
Pay to a utility (Paybill) till
Withdraw funds:To owners nominated number, At M-PESA agent, To bank
Sell Airtime and earn commission.
"
1564,How do I apply for a Business Till?,"Log in to the portal -  Lipa Na M-PESA Application Portal (m-pesaforbusiness.co.ke) and click on “Apply Now’ menu and select the product to apply for. You will then be required to select the business type to proceed with the application.
To know the status of a pending application, click on “My Applications” tab and enter your phone number to receive a unique OTP (PIN) sent via SMS. A list of all applications made by you shall be displayed. Only the applicant can view the status of the application.
Please note that application for M-PESA till and other services are offered free of charge, whether this is done online, from Safaricom shops or through any of our sales agents.
"
1565,What do the various application status mean on the application portal?,"Where the application is approved or rejected, the applicant shall receive an SMS to notify of the same.

Pending: The application request has been submitted successfully to the Lipa Na M-PESA team for processing.
Rejected: The application request has been rejected and the reason(s) is clearly indicated.
Approved: All documentation provided have been reviewed successfully and the business till is being processed.
Complete: The M-PESA Business till number is active, details sent to the applicant and payments can now be received on the Paybill.
"
